,UMAP_1,UMAP_2,cluster,dbscan_cluster
1482,9.306725,16.857319,16,16
1483,4.661077,-9.521397,24,24
1484,8.550023,-3.1087947,15,15
1485,-2.7643485,-4.526143,11,11
1486,9.532543,16.738829,16,16
1487,-2.5879931,-10.367664,4,4
1488,18.996809,18.853794,29,29
1489,18.984322,18.830599,29,29
1490,-1.8933978,-4.7762327,11,11
1491,15.075013,7.255389,6,6
1492,-1.8992864,-4.777594,11,11
1493,-1.8978713,-4.781911,11,11
1494,-1.9024158,-4.7768006,11,11
1495,11.961379,8.768433,18,18
1496,-1.0578011,-7.328398,27,27
1497,11.171249,-9.238533,9,9
1498,-4.497088,15.346215,0,0
1499,10.394553,4.474059,18,18
1500,12.956588,-12.280293,28,28
1501,19.867825,0.3561592,17,17
1502,11.182438,-0.34274405,1,1
1503,0.7610411,6.808818,20,20
1504,2.435417,12.580486,30,30
1505,13.697321,6.124328,6,6
1506,9.062385,-0.16006003,15,15
1507,6.562161,-15.085202,26,26
1508,-3.4150004,21.638657,2,2
1509,-1.357843,18.87445,2,2
1510,-1.3709707,18.888294,2,2
1511,-1.3723078,18.888659,2,2
1512,1.2075006,-5.2739596,31,31
1513,17.020292,21.988873,29,29
1514,13.665153,17.961298,12,12
1515,17.334087,1.9672109,17,17
1516,9.670853,-4.088468,15,15
1517,2.6359477,7.8614125,20,20
1518,-4.1948485,-4.428183,11,11
1519,-4.191274,-4.428361,11,11
1520,18.911892,-4.8483396,25,25
1521,11.261715,16.04099,12,12
1522,-4.6616864,10.181667,19,19
1523,0.84255767,23.016277,2,2
1524,12.358674,20.59535,12,12
1525,9.0425,11.409399,23,23
1526,11.010868,-0.292913,1,1
1527,16.606384,-3.8518105,1,1
1528,7.7395444,18.796715,16,16
1529,-2.6127214,-10.346258,4,4
1530,10.9581,16.124172,12,12
1531,0.20992881,-10.248887,4,4
1532,10.944599,8.262149,18,18
1533,19.088278,9.737799,21,21
1534,11.631407,-4.872748,15,15
1535,-3.4532583,5.530801,13,13
1536,10.978536,16.11031,12,12
1537,8.421658,-2.8984468,15,15
1538,13.15518,16.547089,12,12
1539,18.625261,17.952785,29,29
1540,12.01,21.0377,12,12
1541,15.33218,8.131796,6,6
1542,2.5476928,-0.3030605,14,14
1543,18.90765,-8.063152,22,22
1544,8.491653,-3.0200796,15,15
1545,10.790458,8.153893,18,18
1546,18.624357,20.706688,29,29
1547,-0.5668735,23.3032,2,2
1548,-0.6922784,23.302656,2,2
1549,13.493147,18.7996,12,12
1550,21.85591,10.795519,21,21
1551,2.6217053,7.8448825,20,20
1552,2.6349037,7.8602667,20,20
1553,0.68048316,18.56508,10,10
1554,9.485023,-9.174691,9,9
1555,1.2759897,-5.3072386,31,31
1556,11.229151,-0.36285114,1,1
1557,-6.254409,10.371103,19,19
1558,9.646143,5.8046484,18,18
1559,15.1329,2.4867845,18,18
1560,-3.388275,21.757936,2,2
1561,8.015788,-10.197944,9,9
1562,17.752604,-4.398702,1,1
1563,-3.423049,21.020426,2,2
1564,-4.3225656,14.94495,0,0
1565,-6.097459,-5.5985394,11,11
1566,14.849652,6.967975,6,6
1567,-1.2406121,1.8798705,8,8
1568,15.309897,8.1869335,6,6
1569,8.035398,18.097853,16,16
1570,-3.0091743,20.209919,2,2
1571,11.360825,8.519644,18,18
1572,11.338232,8.501795,18,18
1573,2.0641859,-0.95499945,14,14
1574,20.57773,-4.0446763,25,25
1575,-0.93245393,11.030507,19,19
1576,15.398817,7.954337,6,6
1577,9.858473,-4.182251,15,15
1578,-1.6886513,23.236458,2,2
